"longitude","latitude","environment.2019_land_distance","environment.2019_mean_depth","environment.2019_net_primary_production","environment.2019_sea.bottom_dissolved_oxygen","fishing.activity.2019_total_fishing","species.richness.2019","stocks.richness.2019","thermohalinity_2019","distance_class","distance_class_interpretation"
11.22,41.03,-0.539251145,-0.351099655,-0.130913063,-0.278561726,-0.417642364,0.200098381,0.422420946,-0.219421549,3,"high risk"
11.72,41.03,-0.482309122,-0.365231909,-0.150125883,-0.291073774,-0.41419627,-0.003042095,0.180430823,-0.107585782,4,"medium risk"
12.22,41.03,-0.376655944,-0.339862971,0.128564224,-0.187261827,0.489208981,0.929014203,1.196789341,-0.174587624,3,"high risk"
12.72,41.03,0.780663351,-0.074417123,0.633681356,0.229883068,4.238418254,2.267351451,1.583973538,-0.831181629,1,"high risk"
13.22,41.03,1.483957386,0.777629077,-0.009456264,-0.078143836,1.507872589,1.831196902,1.535575514,-1.088185144,3,"high risk"
13.72,41.03,2.152086716,1.166811547,0.467017766,0.670197287,3.302344831,1.371143473,1.245187366,-1.765098529,1,"high risk"
17.22,41.03,0.780663351,-0.068528645,-0.32895289,1.472817886,0.69712807,1.640005866,1.341983415,-0.777228406,3,"high risk"
17.72,41.03,-0.381237004,-0.300391061,-0.406712592,1.128759644,-0.155250285,0.570531012,1.003197242,-0.532284778,3,"high risk"
18.22,41.03,-0.444663381,-0.325057461,-0.458817268,1.077120203,-0.398364117,0.062679824,0.761207119,-0.50472269,3,"high risk"
18.72,41.03,-0.398470496,-0.244179634,-0.439485384,1.163134193,0.057978354,0.546632132,1.003197242,-0.656874728,3,"high risk"
19.22,41.03,0.635539194,2.075394403,0.74994874,1.753735019,0.797099277,1.227750196,1.438779464,-1.452136759,1,"high risk"
28.22,41.03,6.494927379,5.650870562,0.619279747,1.3673053,0.039613861,-1.000820311,-1.077917818,2.252295944,1,"high risk"
0.72,40.53,1.669548855,2.866161175,3.228219504,2.060156229,9.985916747,1.395042352,0.906401193,-1.958725251,1,"high risk"
1.22,40.53,-0.28358053,0.296512883,1.398048961,1.279782496,4.21619598,1.926792419,1.438779464,-0.629469276,1,"high risk"
1.72,40.53,-0.421448495,-0.342928332,0.686493301,-0.149770672,-0.011107922,1.04253388,1.29358539,-0.170921072,3,"high risk"
2.22,40.53,-0.447709044,-0.371747695,0.262431083,-0.176695291,-0.390286078,-0.152410091,-0.0615593,-0.097314904,4,"medium risk"
2.72,40.53,-0.484637984,-0.381327684,0.151904393,-0.18620624,-0.417275176,-0.61843824,-0.835927695,-0.064363147,4,"medium risk"
3.22,40.53,-0.484637984,-0.387418821,0.173906727,-0.176745128,-0.416584294,-0.666235999,-0.78752967,-0.051444339,4,"medium risk"
3.72,40.53,-0.447709044,-0.39211252,0.115043622,-0.114654113,-0.417311511,-0.61246352,-0.497141522,-0.077967703,4,"medium risk"
4.22,40.53,-0.447709044,-0.396183194,0.090720518,-0.110848469,-0.415377662,-0.59453936,-0.400345473,-0.088686413,4,"medium risk"
